Fine/ Comm. Serv/ Fee ,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
8059.0,1116.0,3226.0,740.0,579.0,248.0,64.0,718.0
-9.337383283,70.12195122,-2.153472854,8.345534407,35.28037383,24.0,-25.58139535,10.12269939
