Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,16.0,724.0,267.0,22.0,186.0,74.0,611.0
2018.0,6.0,804.0,271.0,30.0,185.0,140.0,726.0
2019.0,14.0,813.0,222.0,29.0,197.0,100.0,789.0
2020.0,5.0,599.0,116.0,21.0,115.0,73.0,502.0
2021.0,5.0,664.0,102.0,12.0,197.0,56.0,648.0
2022.0,6.0,641.0,134.0,13.0,245.0,38.0,715.0
2023.0,0.0,153.0,24.0,3.0,40.0,17.0,178.0
