Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,1,436,66,5,66,63,383
2021,3,464,62,10,137,51,471
2022,6,514,90,9,166,35,509
2023,7,555,83,8,148,70,472
2024,9,484,77,4,94,55,464
2025,11,437,72,7,92,41,443
