Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,562.0,21.0,0.0,583.0,3.602058319,174.0,237.0,411.0,42.33576642
2017 Q2,596.0,16.0,0.0,612.0,2.614379085,198.0,256.0,454.0,43.6123348
2017 Q3,584.0,14.0,0.0,598.0,2.341137124,151.0,257.0,408.0,37.00980392
2017 Q4,533.0,12.0,0.0,545.0,2.201834862,141.0,215.0,356.0,39.60674157
2018 Q1,575.0,9.0,0.0,584.0,1.54109589,205.0,236.0,441.0,46.48526077
2018 Q2,668.0,11.0,0.0,679.0,1.620029455,191.0,286.0,477.0,40.04192872
2018 Q3,587.0,12.0,0.0,599.0,2.003338898,210.0,279.0,489.0,42.94478528
2018 Q4,557.0,16.0,3.0,576.0,2.777777778,172.0,252.0,424.0,40.56603774
2019 Q1,556.0,13.0,0.0,569.0,2.284710018,191.0,222.0,413.0,46.24697337
2019 Q2,610.0,12.0,1.0,623.0,1.926163724,246.0,265.0,511.0,48.1409002
2019 Q3,600.0,13.0,2.0,615.0,2.113821138,214.0,216.0,430.0,49.76744186
2019 Q4,528.0,8.0,0.0,536.0,1.492537313,219.0,241.0,460.0,47.60869565
2020 Q1,467.0,7.0,1.0,475.0,1.473684211,249.0,213.0,462.0,53.8961039
2020 Q2,362.0,9.0,0.0,371.0,2.425876011,84.0,138.0,222.0,37.83783784
2020 Q3,399.0,7.0,0.0,406.0,1.724137931,134.0,134.0,268.0,50.0
2020 Q4,466.0,14.0,0.0,480.0,2.916666667,148.0,151.0,299.0,49.49832776
2021 Q1,473.0,14.0,0.0,487.0,2.874743326,152.0,183.0,335.0,45.37313433
2021 Q2,445.0,13.0,2.0,460.0,2.826086957,116.0,191.0,307.0,37.78501629
2021 Q3,478.0,17.0,0.0,495.0,3.434343434,140.0,204.0,344.0,40.69767442
2021 Q4,427.0,13.0,0.0,440.0,2.954545455,124.0,183.0,307.0,40.39087948
2022 Q1,437.0,22.0,1.0,460.0,4.782608696,151.0,208.0,359.0,42.06128134
2022 Q2,399.0,29.0,0.0,430.0,6.744186047,146.0,197.0,343.0,42.56559767
2022 Q3,379.0,26.0,0.0,407.0,6.388206388,164.0,196.0,360.0,45.55555556
2022 Q4,366.0,23.0,1.0,391.0,5.882352941,142.0,158.0,300.0,47.33333333
2023 Q1,345.0,11.0,0.0,356.0,3.08988764,108.0,139.0,247.0,43.72469636
