Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017.0,2338.0,403.0,2741.0,9.0,205.0,147.0,46.0,173.0,1583.0,2163.0,14.70266326,6.796116505
2018.0,2438.0,355.0,2793.0,15.0,199.0,219.0,41.0,190.0,1790.0,2454.0,12.7103473,8.924205379
2019.0,2343.0,336.0,2679.0,12.0,164.0,202.0,54.0,155.0,1760.0,2347.0,12.54199328,8.606731998
2020.0,1732.0,305.0,2037.0,4.0,133.0,215.0,24.0,126.0,1227.0,1729.0,14.97299951,12.43493349
2021.0,1882.0,254.0,2136.0,8.0,143.0,233.0,19.0,184.0,1274.0,1861.0,11.89138577,12.52015046
2022.0,1688.0,245.0,1933.0,7.0,111.0,183.0,28.0,151.0,1334.0,1814.0,12.67459907,10.08820287
2023.0,356.0,36.0,392.0,4.0,18.0,33.0,3.0,13.0,244.0,315.0,9.183673469,10.47619048
