Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,2339,405,2744,9,198,154,46,173,1578,2158,14.75947522,7.136237257
2018,2439,354,2793,15,193,222,42,191,1792,2455,12.6745435,9.042769857
2019,2342,337,2679,12,163,199,53,155,1761,2343,12.57932064,8.49338455
2020,1733,306,2039,4,125,214,23,125,1229,1720,15.00735655,12.44186047
2021,1880,253,2133,9,144,236,19,187,1280,1875,11.86122832,12.58666667
2022,1688,265,1953,8,165,209,29,168,1401,1980,13.56886841,10.55555556
2023,1437,263,1700,9,143,201,18,146,1207,1724,15.47058824,11.65893271
2024,1405,277,1682,9,143,147,41,96,981,1417,16.46848989,10.37402964
2025,1257,245,1502,4,140,108,20,80,909,1261,16.31158455,8.564631245
