Filing Quarter,Number of violent cases filed per quarter
2017 Q1,14
2017 Q2,14
2017 Q3,15
2017 Q4,7
2018 Q1,17
2018 Q2,7
2018 Q3,23
2018 Q4,22
2019 Q1,18
2019 Q2,14
2019 Q3,26
2019 Q4,20
2020 Q1,23
2020 Q2,18
2020 Q3,21
2020 Q4,20
2021 Q1,25
2021 Q2,25
2021 Q3,17
2021 Q4,6
2022 Q1,19
2022 Q2,14
2022 Q3,16
2022 Q4,8
2023 Q1,15
2023 Q2,19
2023 Q3,21
2023 Q4,35
2024 Q1,22
2024 Q2,19
2024 Q3,21
2024 Q4,11
2025 Q1,19
2025 Q2,15
