Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,2,14,6,1,6,0,36
2021,0,15,10,0,8,1,37
2022,0,21,6,2,6,0,36
2023,1,12,6,1,9,1,40
2024,1,24,7,3,18,0,21
2025,0,14,2,1,17,0,34
