,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2023,21,33,59,18,37,3,0,16
Change since 2022,133.3333333,560,-19.17808219,-28,27.5862069,-25,-100,-44.82758621
