Disposition Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,3386,562,1257
2018,3199,559,1277
2019,2909,623,1222
2020,2842,808,1187
2021,2514,774,1064
2022,2393,666,977
2023,2456,661,967
2024,2476,678,973
2025,2469,667,931
