Disposition Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,15003,2014,4059
2018,13635,2452,4496
2019,13105,2629,4489
2020,9730,2590,3659
2021,8779,2744,3531
2022,8497,2574,3364
2023,10128,2563,3344
2024,12054,2794,3650
2025,14804,3303,4850
