Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,13,33,46,71.73913043
2017 Q2,10,37,47,78.72340426
2017 Q3,5,40,45,88.88888889
2017 Q4,4,44,48,91.66666667
2018 Q1,8,59,67,88.05970149
2018 Q2,9,47,56,83.92857143
