Disposition Quarter,Successful,Not Successful,Total Cases
2017 Q1,46,39,85
2017 Q2,47,46,93
2017 Q3,45,29,74
2017 Q4,48,40,88
2018 Q1,67,47,114
2018 Q2,56,30,86
2018 Q3,62,46,108
2018 Q4,58,51,109
2019 Q1,53,35,88
2019 Q2,72,37,109
2019 Q3,54,44,98
2019 Q4,61,38,99
2020 Q1,69,32,101
2020 Q2,31,16,47
2020 Q3,67,30,97
2020 Q4,66,29,95
2021 Q1,65,37,102
