Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,58.3077,51.6667
2017 Q2,54.9286,44.7059
2017 Q3,52.5333,80.5
2017 Q4,50.2857,55.2308
2018 Q1,42.5882,49.5385
2018 Q2,46.8125,48.2308
2018 Q3,45.5625,50.1667
2018 Q4,40.4375,48.5714
2019 Q1,40.45,39.1765
2019 Q2,44.6111,43.7778
2019 Q3,40.4444,33.2857
2019 Q4,42.6875,33.3529
2020 Q1,48.4667,42.7692
2020 Q2,89.7059,63.2727
2020 Q3,106.4667,96.0
2020 Q4,66.6875,67.4167
2021 Q1,98.3077,60.0
2021 Q2,94.5385,70.5
2021 Q3,104.3333,78.4
2021 Q4,99.1667,83.8182
2022 Q1,98.0769,79.9167
2022 Q2,109.6364,90.5
2022 Q3,113.0,91.5556
2022 Q4,140.6667,91.7
