Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,940,371,1311,5,137,95,32,90,557,916,28.29900839,10.37117904
2018,1070,414,1484,5,135,134,18,112,549,953,27.89757412,14.06086044
2019,1163,334,1497,2,131,135,27,98,625,1018,22.31128925,13.26129666
2020,919,260,1179,3,103,114,27,75,507,829,22.05258694,13.75150784
2021,860,262,1122,4,116,124,21,57,541,863,23.35115865,14.36848204
2022,804,292,1096,5,97,87,16,77,500,782,26.64233577,11.12531969
2023,683,244,927,4,95,105,14,57,395,670,26.3214671,15.67164179
2024,730,192,922,3,118,126,11,48,351,657,20.82429501,19.17808219
2025,663,147,810,0,88,96,20,38,317,559,18.14814815,17.17352415
