Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,38.8696,47.9333
2017 Q2,41.24,67.5
2017 Q3,42.1304,53.4706
2017 Q4,38.36,63.7692
2018 Q1,41.7917,71.6
2018 Q2,37.6296,72.5333
2018 Q3,41.48,53.381
2018 Q4,46.1818,48.85
2019 Q1,50.4091,48.8261
2019 Q2,43.6087,59.5294
2019 Q3,44.8,59.0
2019 Q4,45.0435,59.6875
2020 Q1,42.6957,45.1111
2020 Q2,62.087,27.2222
2020 Q3,51.9545,42.5556
2020 Q4,45.1818,53.0625
2021 Q1,55.7368,63.9375
2021 Q2,78.3529,63.2667
2021 Q3,89.0,74.0556
2021 Q4,113.0,117.4615
2022 Q1,115.4615,128.8333
2022 Q2,108.8462,124.5833
2022 Q3,113.4167,124.0
2022 Q4,125.2727,125.6364
