Year,Line Prosecutor,Leadership Prosecutor,IT/Data analytics,"Clerical, Paralegal, General Support",VWS,Investigator/Officer,Diversion,Total Staff,"Percent of staff in clerical, paralegal, or general support positions"
2016,16,5,0.5,18,3,0,2,44.5,40.4494382
2017,17,5,0.5,19,3,0,2,46.5,40.86021505
2018,17,5,0,23,5,2,2,54,42.59259259
2019,20,7,0,24,5,2,2,60,40
2020,21,6,0,28,6,3,1,65,43.07692308
2021,21,6,0,29,7,3,1,67,43.28358209
2022,19,6,0,30,9,4,1,69,43.47826087
2023,19,7,0,29,10,5,4,74,39.18918919
