Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,36.0
2017 Q2,30.0
2017 Q3,38.0
2017 Q4,35.0
2018 Q1,40.0
2018 Q2,44.0
2018 Q3,42.0
2018 Q4,18.0
2019 Q1,45.0
2019 Q2,42.0
2019 Q3,37.0
2019 Q4,38.0
2020 Q1,35.0
2020 Q2,34.0
2020 Q3,31.0
2020 Q4,40.0
2021 Q1,30.0
2021 Q2,45.0
2021 Q3,34.0
2021 Q4,57.0
2022 Q1,33.0
2022 Q2,41.0
2022 Q3,37.0
2022 Q4,49.0
2023 Q1,32.0
