Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,31
2017 Q2,33
2017 Q3,33
2017 Q4,32
2018 Q1,32
2018 Q2,47
2018 Q3,42
2018 Q4,23
2019 Q1,48
2019 Q2,33
2019 Q3,40
2019 Q4,36
2020 Q1,35
2020 Q2,39
2020 Q3,34
2020 Q4,34
2021 Q1,34
2021 Q2,36
2021 Q3,37
2021 Q4,61
2022 Q1,30
2022 Q2,45
2022 Q3,39
2022 Q4,44
2023 Q1,39
2023 Q2,49
2023 Q3,49
2023 Q4,44
2024 Q1,47
2024 Q2,44
2024 Q3,44
2024 Q4,33
2025 Q1,45
2025 Q2,46
2025 Q3,42
2025 Q4,35
