Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,52,117,74,101,100,5,238,5,692,16.04046243,16.90751445,67.05202312
2017 Q2,76,120,77,95,104,8,182,9,671,16.69150522,17.88375559,65.4247392
2017 Q3,57,113,58,82,95,13,199,4,621,15.94202899,18.19645733,65.86151369
2017 Q4,68,132,76,93,77,7,224,5,682,15.39589443,19.35483871,65.24926686
2018 Q1,52,148,69,97,92,3,234,3,698,14.75644699,21.2034384,64.04011461
2018 Q2,62,130,83,102,96,13,237,2,725,16.13793103,17.93103448,65.93103448
2018 Q3,67,132,74,96,83,5,207,3,667,15.5922039,19.79010495,64.61769115
2018 Q4,81,141,68,98,103,5,177,11,684,16.66666667,20.61403509,62.71929825
2019 Q1,63,131,47,90,78,3,184,11,607,17.13344316,21.5815486,61.28500824
2019 Q2,77,150,73,82,98,10,237,10,737,13.83989145,20.35278155,65.807327
2019 Q3,80,148,70,88,106,13,196,2,703,14.6514936,21.05263158,64.29587482
2019 Q4,74,127,69,99,110,10,179,11,679,17.6730486,18.70397644,63.62297496
2020 Q1,86,123,77,86,109,7,159,13,660,16.06060606,18.63636364,65.3030303
2020 Q2,38,33,41,58,45,6,40,10,271,27.30627306,12.17712177,60.51660517
2020 Q3,37,120,44,84,71,4,128,8,496,19.35483871,24.19354839,56.4516129
2020 Q4,35,102,41,67,65,1,88,8,407,18.67321867,25.06142506,56.26535627
2021 Q1,27,131,58,72,82,9,89,6,474,18.35443038,27.6371308,54.00843882
2021 Q2,42,104,36,79,78,4,102,7,452,19.91150442,23.00884956,57.07964602
2021 Q3,27,92,38,59,66,9,102,5,398,18.34170854,23.11557789,58.54271357
2021 Q4,30,101,38,59,84,5,77,4,398,17.08542714,25.37688442,57.53768844
2022 Q1,20,127,40,76,85,4,78,4,434,19.35483871,29.26267281,51.38248848
2022 Q2,46,153,42,62,111,8,77,7,506,15.2173913,30.23715415,54.54545455
2022 Q3,25,124,37,46,83,5,72,6,398,14.32160804,31.15577889,54.52261307
2022 Q4,33,119,41,53,61,5,47,8,367,17.98365123,32.42506812,49.59128065
2023 Q1,35,104,50,72,64,7,37,5,374,22.45989305,27.80748663,49.73262032
2023 Q2,34,107,43,53,75,7,54,4,377,16.97612732,28.38196286,54.64190981
2023 Q3,25,100,34,73,67,4,60,2,365,21.64383562,27.39726027,50.95890411
2023 Q4,47,116,42,47,49,3,56,1,361,14.12742382,32.13296399,53.73961219
2024 Q1,34,109,34,45,74,6,57,5,364,15.38461538,29.94505495,54.67032967
2024 Q2,37,119,40,67,74,7,40,3,387,19.89664083,30.74935401,49.35400517
2024 Q3,37,111,27,64,67,6,52,5,369,20.32520325,30.08130081,49.59349593
2024 Q4,21,67,21,29,33,2,34,1,208,15.38461538,32.21153846,52.40384615
2025 Q1,18,69,24,42,49,5,51,3,261,19.15708812,26.43678161,54.40613027
2025 Q2,34,126,44,54,58,9,55,6,386,17.87564767,32.64248705,49.48186528
2025 Q3,42,101,35,61,51,4,54,3,351,19.37321937,28.77492877,51.85185185
2025 Q4,34,84,31,45,39,2,60,3,298,16.77852349,28.18791946,55.03355705
