,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,994,413,2925,551,466,141,67,250
Change since 2024,13.47031963,-13.05263158,-2.402402402,-7.55033557,8.372093023,-12.42236025,-14.1025641,-13.79310345
