Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,1,214,132,4,151,35,372
2021,0,289,167,5,158,21,309
2022,5,260,124,11,165,23,343
2023,2,282,108,1,145,25,312
2024,2,315,124,4,161,41,290
2025,1,277,83,2,141,24,250
