Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2018,896,28,924,2,148,63,39,39,357,648,3.03030303,9.722222222
2019,900,58,958,1,129,97,12,45,451,735,6.054279749,13.19727891
2020,698,51,749,3,120,71,14,34,424,666,6.809078772,10.66066066
2021,677,34,711,4,97,124,12,63,375,675,4.781997187,18.37037037
2022,531,76,607,14,76,113,14,54,338,609,12.52059308,18.55500821
2023,528,88,616,6,104,55,14,38,275,492,14.28571429,11.17886179
2024,574,46,620,4,67,69,14,35,264,453,7.419354839,15.23178808
2025,489,66,555,2,73,50,16,26,257,424,11.89189189,11.79245283
