Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,305,963,62
2017 Q2,240,947,76
2017 Q3,261,1097,124
2017 Q4,206,840,84
2018 Q1,196,933,77
2018 Q2,247,875,101
2018 Q3,223,1048,132
2018 Q4,269,867,67
2019 Q1,225,814,88
2019 Q2,248,854,73
2019 Q3,261,1005,91
2019 Q4,218,771,106
2020 Q1,280,885,93
2020 Q2,274,800,88
2020 Q3,257,962,95
2020 Q4,195,837,71
2021 Q1,222,850,58
2021 Q2,206,717,47
2021 Q3,242,985,90
2021 Q4,206,676,53
2022 Q1,182,703,44
2022 Q2,184,753,60
2022 Q3,218,751,78
2022 Q4,166,812,85
2023 Q1,171,793,76
2023 Q2,151,751,90
2023 Q3,205,739,92
2023 Q4,149,747,120
2024 Q1,159,713,103
2024 Q2,180,787,77
2024 Q3,202,750,117
2024 Q4,182,767,90
2025 Q1,155,676,91
2025 Q2,169,721,95
2025 Q3,188,828,129
2025 Q4,133,771,111
