Filing Quarter,Number of violent cases filed per quarter
2017 Q1,44
2017 Q2,41
2017 Q3,52
2017 Q4,48
2018 Q1,37
2018 Q2,54
2018 Q3,46
2018 Q4,37
2019 Q1,36
2019 Q2,44
2019 Q3,46
2019 Q4,45
2020 Q1,55
2020 Q2,59
2020 Q3,60
2020 Q4,41
2021 Q1,65
2021 Q2,54
2021 Q3,61
2021 Q4,50
2022 Q1,49
2022 Q2,33
2022 Q3,51
2022 Q4,44
2023 Q1,43
2023 Q2,37
2023 Q3,50
2023 Q4,39
2024 Q1,34
2024 Q2,58
2024 Q3,49
