Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction ONLY
2017,2449,344,755
2018,2630,430,856
2019,2359,399,735
2020,1850,480,688
2021,2106,465,747
2022,2044,397,681
2023,1842,343,745
2024,2050,457,756
2025,2014,433,870
