Filing Year,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017.0,3.0,54.0,57.0,5.263157895,94.73684211
2018.0,8.0,65.0,73.0,10.95890411,89.04109589
2019.0,2.0,42.0,44.0,4.545454545,95.45454545
2020.0,3.0,49.0,52.0,5.769230769,94.23076923
2021.0,3.0,51.0,54.0,5.555555556,94.44444444
2022.0,5.0,41.0,46.0,10.86956522,89.13043478
