Filing Quarter,Number of violent cases filed per quarter
2017 Q1,35
2017 Q2,26
2017 Q3,40
2017 Q4,41
2018 Q1,33
2018 Q2,28
2018 Q3,37
2018 Q4,40
2019 Q1,25
2019 Q2,28
2019 Q3,32
2019 Q4,31
2020 Q1,47
2020 Q2,34
2020 Q3,43
2020 Q4,26
2021 Q1,41
2021 Q2,28
2021 Q3,57
2021 Q4,34
2022 Q1,33
2022 Q2,37
2022 Q3,29
2022 Q4,31
2023 Q1,41
2023 Q2,39
2023 Q3,26
2023 Q4,35
2024 Q1,29
2024 Q2,28
