Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,228,807,59
2017 Q2,201,812,65
2017 Q3,231,835,77
2017 Q4,209,750,74
2018 Q1,243,830,62
2018 Q2,219,791,70
2018 Q3,249,767,50
2018 Q4,218,734,54
2019 Q1,194,849,65
2019 Q2,197,840,80
2019 Q3,221,757,47
2019 Q4,204,702,36
2020 Q1,196,755,45
2020 Q2,176,1542,70
2020 Q3,196,1611,41
2020 Q4,170,1082,52
2021 Q1,204,1291,67
2021 Q2,221,1238,52
2021 Q3,243,1261,45
2021 Q4,217,1204,42
2022 Q1,191,1297,93
2022 Q2,164,1227,68
2022 Q3,169,1260,95
2022 Q4,149,1276,139
2023 Q1,190,1251,101
2023 Q2,167,1167,73
