Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,868,3205,275
2018,928,3119,236
2019,815,3147,228
2020,737,4985,208
2021,883,4992,206
2022,669,5052,397
2023,663,4870,382
2024,673,4798,379
2025,620,5174,420
