Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2020 Q1,173,465,25
2020 Q2,183,433,19
2020 Q3,166,569,30
2020 Q4,148,596,24
2021 Q1,145,896,26
2021 Q2,220,714,22
2021 Q3,206,722,28
2021 Q4,151,605,30
2022 Q1,182,619,19
2022 Q2,174,453,24
2022 Q3,110,440,36
2022 Q4,154,609,36
2023 Q1,164,520,44
2023 Q2,161,513,40
2023 Q3,158,569,50
2023 Q4,176,626,44
2024 Q1,173,545,44
2024 Q2,161,570,41
2024 Q3,142,614,35
2024 Q4,124,593,34
2025 Q1,117,614,67
2025 Q2,145,569,67
2025 Q3,139,599,99
2025 Q4,129,463,56
