Filing Quarter,Number of violent cases filed per quarter
2020 Q1,29
2020 Q2,39
2020 Q3,43
2020 Q4,33
2021 Q1,42
2021 Q2,44
2021 Q3,42
2021 Q4,28
2022 Q1,44
2022 Q2,46
2022 Q3,32
2022 Q4,34
2023 Q1,48
2023 Q2,43
2023 Q3,32
2023 Q4,48
2024 Q1,33
2024 Q2,38
2024 Q3,30
2024 Q4,27
2025 Q1,24
2025 Q2,32
