Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,246.0,660.0,31.0
2017 Q2,255.0,619.0,22.0
2017 Q3,322.0,595.0,29.0
2017 Q4,269.0,497.0,14.0
2018 Q1,240.0,548.0,15.0
2018 Q2,236.0,584.0,12.0
2018 Q3,193.0,556.0,20.0
2018 Q4,240.0,483.0,22.0
2019 Q1,252.0,556.0,23.0
2019 Q2,210.0,503.0,14.0
2019 Q3,257.0,492.0,20.0
2019 Q4,185.0,523.0,29.0
2020 Q1,174.0,465.0,25.0
2020 Q2,184.0,433.0,19.0
2020 Q3,167.0,569.0,30.0
2020 Q4,148.0,596.0,24.0
2021 Q1,144.0,898.0,26.0
2021 Q2,220.0,715.0,22.0
2021 Q3,207.0,722.0,28.0
2021 Q4,151.0,607.0,30.0
2022 Q1,183.0,620.0,19.0
2022 Q2,174.0,454.0,24.0
2022 Q3,109.0,439.0,37.0
2022 Q4,153.0,609.0,36.0
2023 Q1,161.0,516.0,43.0
