Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,1501,196,1697,6,328,86,24,40,865,1349,11.54979375,6.375092661
2018,1455,183,1638,4,376,79,29,21,955,1464,11.17216117,5.396174863
2019,1495,192,1687,3,321,71,22,23,936,1376,11.38114997,5.159883721
2020,1363,210,1573,1,261,73,20,16,659,1030,13.35028608,7.087378641
2021,1281,215,1496,4,293,103,19,39,858,1316,14.37165775,7.82674772
2022,1290,268,1558,2,227,99,39,34,759,1160,17.20154044,8.534482759
2023,1417,275,1692,7,170,98,48,31,791,1145,16.25295508,8.558951965
2024,1468,177,1645,8,159,112,19,37,654,989,10.75987842,11.32457027
