Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,29,1,30,3.333333333
2017 Q2,31,2,33,6.060606061
2017 Q3,26,2,28,7.142857143
2017 Q4,19,1,20,5
2018 Q1,19,3,22,13.63636364
2018 Q2,17,2,19,10.52631579
