Disposition Year,Fine/Community Service,Time Served,Probation,Probation plus Jail,Jail,Youth Corrections
2017.0,627.0,140.0,710.0,266.0,125.0,4.0
2018.0,687.0,135.0,563.0,267.0,132.0,11.0
2019.0,665.0,126.0,648.0,218.0,148.0,2.0
2020.0,506.0,106.0,534.0,150.0,116.0,2.0
2021.0,695.0,109.0,671.0,176.0,120.0,8.0
2022.0,475.0,96.0,536.0,191.0,135.0,3.0
2023.0,126.0,22.0,131.0,34.0,23.0,1.0
