Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,106.0,48.0,8.0,57.0,6.0,87.0
2018.0,101.0,26.0,6.0,46.0,3.0,102.0
2019.0,112.0,26.0,4.0,55.0,6.0,79.0
2020.0,95.0,21.0,3.0,64.0,3.0,71.0
2021.0,83.0,32.0,2.0,63.0,4.0,70.0
2022.0,63.0,33.0,2.0,59.0,9.0,75.0
2023.0,10.0,12.0,0.0,10.0,0.0,14.0
