Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction ONLY
2017,3252,273,823
2018,2988,329,966
2019,2887,338,965
2020,4352,444,1134
2021,4190,520,1371
2022,4477,395,1246
2023,4415,425,1075
2024,4351,352,1147
2025,4566,382,1266
