Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2021,26,7,1,16,1,32
2022,33,3,1,17,0,54
2023,26,15,3,19,2,58
2024,16,4,0,19,2,50
2025,27,12,2,18,1,54
