Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,1.0,37.0,12.0,3.0,20.0,0.0,74.0
2018.0,0.0,30.0,4.0,1.0,14.0,0.0,33.0
2019.0,0.0,25.0,6.0,1.0,14.0,0.0,30.0
2020.0,0.0,32.0,7.0,2.0,27.0,0.0,43.0
2021.0,0.0,26.0,7.0,1.0,16.0,1.0,31.0
2022.0,0.0,31.0,3.0,1.0,15.0,0.0,51.0
2023.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0
