Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Actual Percent of felony defendants with new case filed within 1 year,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,3.0,5.0,8.0,37.5,43.75,12.0,30.0,42.0,28.57142857
2017 Q2,2.0,2.0,4.0,50.0,34.29487179,7.0,25.0,32.0,21.875
2017 Q3,2.0,11.0,13.0,15.38461538,24.35897436,9.0,27.0,36.0,25.0
2017 Q4,1.0,12.0,13.0,7.692307692,11.02564103,8.0,21.0,29.0,27.5862069
2018 Q1,1.0,9.0,10.0,10.0,14.23076923,6.0,27.0,33.0,18.18181818
2018 Q2,2.0,6.0,8.0,25.0,16.42857143,5.0,23.0,28.0,17.85714286
2018 Q3,1.0,6.0,7.0,14.28571429,26.42857143,5.0,21.0,26.0,19.23076923
2018 Q4,2.0,3.0,5.0,40.0,26.42857143,3.0,24.0,27.0,11.11111111
2019 Q1,2.0,6.0,8.0,25.0,24.6969697,6.0,17.0,23.0,26.08695652
2019 Q2,1.0,10.0,11.0,9.090909091,11.36363636,7.0,30.0,37.0,18.91891892
2019 Q3,0.0,5.0,5.0,0.0,3.03030303,5.0,15.0,20.0,25.0
2019 Q4,0.0,2.0,2.0,0.0,0.0,6.0,14.0,20.0,30.0
2020 Q1,0.0,12.0,12.0,0.0,11.11111111,8.0,21.0,29.0,27.5862069
2020 Q2,3.0,6.0,9.0,33.33333333,11.11111111,5.0,17.0,22.0,22.72727273
2020 Q3,0.0,7.0,7.0,0.0,11.11111111,9.0,32.0,41.0,21.95121951
2020 Q4,0.0,5.0,5.0,0.0,6.666666667,8.0,22.0,30.0,26.66666667
2021 Q1,1.0,4.0,5.0,20.0,16.19047619,8.0,32.0,40.0,20.0
2021 Q2,2.0,5.0,7.0,28.57142857,22.85714286,3.0,41.0,44.0,6.818181818
2021 Q3,1.0,4.0,5.0,20.0,19.52380952,13.0,31.0,44.0,29.54545455
2021 Q4,1.0,9.0,10.0,10.0,10.0,20.0,43.0,63.0,31.74603175
2022 Q1,0.0,7.0,7.0,0.0,5.0,12.0,62.0,74.0,16.21621622
