Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2021 Q1,15,5,1,4
2021 Q2,18,7,5,9
2021 Q3,10,5,3,4
2021 Q4,19,9,7,15
2022 Q1,16,8,9,12
2022 Q2,17,5,4,11
2022 Q3,20,12,0,13
2022 Q4,10,8,4,18
2023 Q1,10,7,5,12
2023 Q2,6,5,4,9
2023 Q3,13,4,5,12
2023 Q4,17,10,5,25
2024 Q1,12,2,1,19
2024 Q2,11,5,8,16
2024 Q3,13,5,8,8
2024 Q4,12,0,1,7
2025 Q1,16,6,6,10
2025 Q2,12,7,1,19
2025 Q3,10,8,7,9
2025 Q4,19,1,4,9
