Filing Quarter,Number of violent cases filed per quarter
2017 Q1,19
2017 Q2,26
2017 Q3,18
2017 Q4,27
2018 Q1,35
2018 Q2,24
2018 Q3,30
2018 Q4,23
2019 Q1,25
2019 Q2,17
2019 Q3,15
2019 Q4,14
2020 Q1,21
2020 Q2,21
2020 Q3,26
2020 Q4,19
2021 Q1,21
2021 Q2,28
2021 Q3,25
2021 Q4,31
2022 Q1,17
2022 Q2,19
2022 Q3,24
2022 Q4,17
2023 Q1,33
2023 Q2,25
2023 Q3,35
2023 Q4,30
2024 Q1,38
2024 Q2,19
2024 Q3,24
2024 Q4,27
2025 Q1,31
2025 Q2,29
