Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,132,837,16
2017 Q2,159,637,32
2017 Q3,145,721,44
2017 Q4,156,626,44
2018 Q1,161,807,49
2018 Q2,202,781,54
2018 Q3,183,745,30
2018 Q4,159,714,30
2019 Q1,166,727,36
2019 Q2,145,694,35
2019 Q3,152,703,32
2019 Q4,120,639,43
2020 Q1,155,730,46
2020 Q2,115,425,41
2020 Q3,135,591,56
2020 Q4,134,543,46
2021 Q1,133,612,20
2021 Q2,144,650,54
2021 Q3,138,702,58
2021 Q4,131,612,64
2022 Q1,108,683,38
2022 Q2,88,652,73
2022 Q3,120,644,57
2022 Q4,103,500,57
2023 Q1,134,545,47
2023 Q2,121,528,41
2023 Q3,121,538,57
2023 Q4,129,606,64
2024 Q1,133,624,47
2024 Q2,90,575,71
2024 Q3,120,721,56
2024 Q4,79,466,31
2025 Q1,137,655,44
2025 Q2,129,641,46
