Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2018,4423,137,1154,8,22,134,178
2019,3854,146,1034,14,15,109,187
2020,2917,83,1041,8,12,68,104
2021,2957,121,1170,15,18,64,74
2022,2236,87,960,12,19,54,76
2023,2219,90,1013,9,9,70,111
2024,2584,99,1065,6,20,70,152
2025,2423,87,1127,20,21,99,168
