Disposition Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2018,3721,589,1746
2019,3227,624,1508
2020,2367,677,1189
2021,2458,700,1261
2022,2006,468,970
2023,2094,500,927
2024,2390,589,1017
2025,2497,457,991
