Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,15,75,90,16.66666667,68,236,304,22.36842105
2017 Q2,13,67,80,16.25,85,307,392,21.68367347
2017 Q3,16,71,87,18.3908046,63,298,361,17.45152355
2017 Q4,20,49,69,28.98550725,63,253,316,19.93670886
2018 Q1,23,66,89,25.84269663,82,378,460,17.82608696
2018 Q2,19,69,88,21.59090909,91,378,469,19.40298507
2018 Q3,22,61,83,26.5060241,108,404,512,21.09375
2018 Q4,13,56,69,18.84057971,88,328,416,21.15384615
2019 Q1,12,70,82,14.63414634,95,375,470,20.21276596
2019 Q2,10,60,70,14.28571429,117,335,452,25.88495575
2019 Q3,11,50,61,18.03278689,103,332,435,23.67816092
2019 Q4,14,70,84,16.66666667,85,342,427,19.90632319
2020 Q1,17,43,60,28.33333333,89,323,412,21.60194175
2020 Q2,7,28,35,20,22,124,146,15.06849315
2020 Q3,4,42,46,8.695652174,35,217,252,13.88888889
2020 Q4,10,37,47,21.27659574,39,252,291,13.40206186
2021 Q1,11,41,52,21.15384615,46,278,324,14.19753086
2021 Q2,13,48,61,21.31147541,59,266,325,18.15384615
2021 Q3,11,49,60,18.33333333,68,301,369,18.42818428
2021 Q4,10,47,57,17.54385965,72,298,370,19.45945946
2022 Q1,11,76,87,12.64367816,69,322,391,17.64705882
2022 Q2,18,60,78,23.07692308,64,372,436,14.67889908
2022 Q3,14,66,80,17.5,76,386,462,16.45021645
2022 Q4,8,53,61,13.1147541,73,369,442,16.5158371
2023 Q1,6,42,48,12.5,59,360,419,14.08114558
2023 Q2,10,44,54,18.51851852,66,308,374,17.64705882
2023 Q3,15,48,63,23.80952381,68,263,331,20.54380665
2023 Q4,18,48,66,27.27272727,61,251,312,19.55128205
2024 Q1,16,37,53,30.18867925,69,293,362,19.06077348
2024 Q2,7,45,52,13.46153846,69,263,332,20.78313253
