Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2017.0,1.0,319.0,84.0,3.0,147.0,23.0,371.0
2018.0,2.0,314.0,67.0,6.0,174.0,33.0,425.0
2019.0,3.0,274.0,53.0,3.0,148.0,36.0,405.0
2020.0,0.0,184.0,37.0,2.0,100.0,17.0,271.0
2021.0,5.0,215.0,58.0,1.0,167.0,14.0,281.0
2022.0,2.0,279.0,44.0,2.0,128.0,10.0,278.0
2023.0,0.0,36.0,13.0,1.0,29.0,2.0,57.0
