,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2024,2114,398,1354,328,207,100,38,222
Change since 2023,12.14854111,8.152173913,14.84308736,20.14652015,31.01265823,-20.63492063,-2.564102564,1.369863014
