Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,1005,125,1130,8,95,50,11,52,632,848,11.0619469,5.896226415
2018,1066,172,1238,5,80,66,8,73,628,860,13.89337641,7.674418605
2019,1114,163,1277,8,70,78,8,97,585,846,12.76429131,9.219858156
2020,1001,182,1183,2,65,93,11,91,587,849,15.38461538,10.9540636
2021,983,178,1161,1,75,159,14,132,531,912,15.33161068,17.43421053
2022,840,135,975,2,87,128,7,145,468,837,13.84615385,15.29271207
2023,791,98,889,1,78,115,3,113,429,739,11.02362205,15.56156969
2024,708,88,796,4,79,136,6,94,407,726,11.05527638,18.73278237
