Year,Felony,Misdemeanor,Petty Offense/Infraction
2017.0,7651.0,11978.0,153.0
2018.0,8570.0,11705.0,214.0
2019.0,8469.0,9687.0,120.0
2020.0,5956.0,6818.0,68.0
2021.0,5893.0,6916.0,97.0
2022.0,5318.0,6734.0,180.0
