Filing Quarter,Number of violent cases filed per quarter
2017 Q1,344
2017 Q2,353
2017 Q3,362
2017 Q4,336
2018 Q1,299
2018 Q2,338
2018 Q3,401
2018 Q4,340
2019 Q1,313
2019 Q2,332
2019 Q3,388
2019 Q4,359
2020 Q1,294
2020 Q2,275
2020 Q3,370
2020 Q4,357
2021 Q1,332
2021 Q2,356
2021 Q3,333
2021 Q4,324
2022 Q1,289
2022 Q2,293
2022 Q3,373
2022 Q4,332
2023 Q1,373
2023 Q2,363
2023 Q3,419
2023 Q4,346
2024 Q1,398
2024 Q2,371
2024 Q3,394
2024 Q4,364
2025 Q1,382
