Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,370,62,432,0,34,55,25,34,154,302,14.35185185,18.21192053
2018,418,83,501,1,20,24,29,16,73,163,16.56686627,14.72392638
2019,394,82,476,1,43,31,43,35,130,283,17.22689076,10.9540636
2020,359,93,452,1,36,28,18,21,88,192,20.57522124,14.58333333
2021,385,51,436,2,24,28,17,32,121,224,11.69724771,12.5
2022,320,25,345,0,44,40,21,43,112,260,7.246376812,15.38461538
2023,323,9,332,1,32,32,12,39,113,229,2.710843373,13.97379913
2024,262,3,265,1,46,50,17,37,124,275,1.132075472,18.18181818
2025,232,5,237,1,27,24,6,24,113,195,2.109704641,12.30769231
