Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,13
2017 Q2,11
2017 Q3,11
2017 Q4,15
2018 Q1,17
2018 Q2,14
2018 Q3,9
2018 Q4,7
2019 Q1,7
2019 Q2,15
2019 Q3,15
2019 Q4,14
2020 Q1,9
2020 Q2,4
2020 Q3,7
2020 Q4,14
2021 Q1,9
2021 Q2,14
2021 Q3,7
2021 Q4,9
2022 Q1,16
2022 Q2,14
2022 Q3,8
2022 Q4,11
2023 Q1,4
2023 Q2,12
2023 Q3,14
2023 Q4,12
2024 Q1,17
2024 Q2,11
2024 Q3,17
2024 Q4,20
2025 Q1,12
2025 Q2,21
