Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,1995,91,11,3,31,1126,55
2018,2266,75,21,3,32,1349,20
2019,2277,121,13,2,45,1211,7
2020,2701,136,9,1,50,1219,0
2021,2674,158,16,2,66,2002,2
2022,2562,207,39,0,52,1549,29
2023,2687,218,41,3,85,1645,72
2024,2789,287,38,5,83,1426,2
