Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,6,22,28,78.57142857
2017 Q2,9,25,36,69.44444444
2017 Q3,6,15,21,71.42857143
2017 Q4,7,20,27,74.07407407
2018 Q1,7,25,32,78.125
2018 Q2,5,26,31,83.87096774
