Disposition Quarter,Deferred
2018 Q1,39
2018 Q2,39
2018 Q3,36
2018 Q4,34
2019 Q1,33
2019 Q2,39
2019 Q3,30
2019 Q4,27
2020 Q1,47
2020 Q2,24
2020 Q3,26
2020 Q4,24
2021 Q1,29
2021 Q2,21
2021 Q3,19
2021 Q4,28
2022 Q1,21
2022 Q2,22
2022 Q3,14
2022 Q4,18
2023 Q1,29
2023 Q2,21
2023 Q3,27
2023 Q4,27
2024 Q1,17
