Disposition Quarter,Successful,Not Successful,Total Cases
2017 Q1,32,7,39
2017 Q2,31,8,39
2017 Q3,29,7,36
2017 Q4,27,7,34
2018 Q1,28,5,33
2018 Q2,30,9,39
2018 Q3,25,5,30
2018 Q4,22,5,27
2019 Q1,37,10,47
2019 Q2,18,6,24
2019 Q3,23,3,26
2019 Q4,22,2,24
2020 Q1,27,2,29
2020 Q2,18,3,21
2020 Q3,14,5,19
2020 Q4,23,5,28
2021 Q1,20,1,21
