Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017.0,855.0,48.0,903.0,4.0,171.0,71.0,20.0,24.0,480.0,770.0,5.315614618,9.220779221
2018.0,917.0,64.0,981.0,8.0,148.0,91.0,15.0,36.0,521.0,819.0,6.523955148,11.11111111
2019.0,843.0,120.0,963.0,10.0,140.0,65.0,13.0,30.0,546.0,804.0,12.46105919,8.084577114
2020.0,729.0,142.0,871.0,2.0,131.0,64.0,8.0,18.0,364.0,587.0,16.30309989,10.90289608
2021.0,882.0,165.0,1047.0,3.0,146.0,71.0,19.0,33.0,479.0,751.0,15.75931232,9.454061252
2022.0,708.0,140.0,848.0,3.0,182.0,79.0,6.0,16.0,465.0,751.0,16.50943396,10.51930759
2023.0,188.0,7.0,195.0,1.0,41.0,37.0,1.0,4.0,119.0,203.0,3.58974359,18.22660099
