Filing Quarter,Number of violent cases filed per quarter
2018 Q1,28
2018 Q2,14
2018 Q3,31
2018 Q4,28
2019 Q1,22
2019 Q2,19
2019 Q3,32
2019 Q4,35
2020 Q1,31
2020 Q2,33
2020 Q3,29
2020 Q4,30
2021 Q1,48
2021 Q2,37
2021 Q3,27
2021 Q4,20
2022 Q1,18
2022 Q2,34
2022 Q3,30
2022 Q4,28
2023 Q1,24
2023 Q2,31
2023 Q3,27
2023 Q4,21
2024 Q1,27
2024 Q2,28
2024 Q3,24
2024 Q4,29
