Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2018,858,4821,377
2019,886,4153,320
2020,693,3296,244
2021,634,3597,188
2022,464,2751,229
2023,496,2718,307
2024,527,3118,351
2025,467,3120,358
