Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,146,198,338,6,20,1530
2021,176,217,293,10,31,1533
2022,184,206,290,10,45,1436
2023,217,190,257,10,42,1393
2024,201,161,311,13,47,1420
2025,211,160,247,20,64,1259
