Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,824,661,391,11,45,4441
2021,1451,1087,540,22,34,4823
2022,1318,1142,443,13,32,4960
2023,660,798,448,28,69,4113
2024,864,771,423,45,164,4077
2025,1078,735,473,55,102,4263
