Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,71,34,120,3,14,424
2021,124,63,97,4,12,375
2022,113,54,76,14,14,338
2023,55,38,104,6,14,275
2024,69,35,67,4,14,264
2025,50,26,73,2,16,257
